aut;trad;ini;ext;num;yr;gen
Ed. and J. de Goncourt;anon no;7;0.3;1;1;gacetilla
Hippolyte Taine;anon no;5;0.3;2;1;gacetilla
Alphonse Daudet;Enrique Gomez Carrillo;6;2.5;2;1;prosa
Ed. and J. de Goncourt;anon no;8;0.5;2;1;gacetilla
Alfred de Musset;anon no;4;0.4;3;1;gacetilla
Marcel Prevost;anon si;7;2.5;3;1;prosa
Theodore de Banville;anon no;15;0.5;3;1;prosa
Hippolyte Taine;anon no;15;0.3;3;1;gacetilla
Jean Richepin;anon no;7;3.5;4;1;prosa
Alfred de Musset;anon no;10;0.2;4;1;gacetilla
Hippolyte Taine;anon no;12;0.2;4;1;gacetilla
Ed. and J. de Goncourt;anon no;5;0.2;5;1;gacetilla
Jean Richepin;anon no;9;3.5;5;1;prosa
[Anonymous];Joaquin Trejo;13;0.5;5;1;poesia
Paul Bourget;anon no;13;0.2;5;1;gacetilla
Theophile Gauthier;Nicanor Bolet Peraza;14;1.5;5;1;prosa
Alfred de Musset;anon no;2;0.1;6;1;gacetilla
Hippolyte Taine;anon no;6;0.2;6;1;gacetilla
Honore de Balzac;anon no;13;0.1;6;1;gacetilla
Paul Bourget;anon no;13;0.1;6;1;gacetilla
Emile Zola;anon no;14;0.4;6;1;prosa
Paul Bourget;anon no;2;0.2;7;1;gacetilla
Aurelien Scholl;anon no;6;1;7;1;prosa
Hippolyte Taine;anon no;7;0.1;7;1;gacetilla
Ed. and J. de Goncourt;anon no;11;0.1;7;1;gacetilla
Paul Bourget;anon no;2;0.2;8;1;gacetilla
Jose-Maria de Heredia;Justo Sierra;3;1.5;8;1;poesia
Georges Courtelines;anon no;5;2.8;8;1;prosa
Francois Coppee;anon no;16;0.2;8;1;gacetilla
Jose-Maria de Heredia;Justo Sierra;3;1;9;1;poesia
Alfred de Musset;Emilio Rabasa;5;1;9;1;poesia
Pierre Loti;anon no;7;2;9;1;prosa
Jules Lemaitre;anon no;10;4;9;1;prosa
Paul Bourget;anon no;4;0.1;10;1;gacetilla
Francois Coppee;anon no;7;2.5;10;1;prosa
Alfred de Musset;anon no;11;0.1;10;1;gacetilla
Charles Baudelaire;anon no;7;0.5;11;1;poesia
Giosue Carducci;Fernangrana;8;0.2;11;1;poesia
Catulle Mendes;anon no;8;1;11;1;prosa
Paul Bourget;anon no;13;0.1;11;1;gacetilla
Ivan Turgenev;anon no;14;0.8;11;1;prosa
Alfred de Musset;anon no;16;0.5;11;1;gacetilla
Jean Reibrach (Jean Chabrier);anon no;11;2.5;12;1;prosa
Francois Coppee;anon si;13;2;12;1;prosa
Eugene Chavette;anon no;8;3;13;1;drama
Rene Maizeroy;anon no;12;1;13;1;prosa
Emile Bergerat;anon no;14;1.5;13;1;prosa
Alfred de Musset;anon no;15;0.2;13;1;gacetilla
Emile Zola;anon no;5;0.3;14;1;gacetilla
Paul Bourget;anon no;7;0.1;14;1;gacetilla
Paul Ginisty;anon no;14;1.5;14;1;prosa
Ernest Renan;anon no;2;2.5;15;1;prosa
Leconte de Lisle;Balbino Davalos;4;0.6;15;1;poesia
Paul Bourget;anon no;5;1.4;15;1;prosa
Andre Chenier;Marcelino Menendez Pelayo;6;0.5;15;1;poesia
Jules Lemaitre;anon no;11;4;15;1;prosa
Jean-Baptiste Alphonse Karr;anon no;2;0.02;16;1;gacetilla
Jules Favre;anon no;2;0.03;16;1;gacetilla
Jean Richepin;anon no;8;1.3;16;1;prosa
Giacomo Leopardi;Calixto Oyuela;10;0.25;16;1;poesia
Giacomo Meyerbeer;anon no;10;0.01;17;1;gacetilla
Emile Zola;anon no;10;0.04;17;1;gacetilla
Max Nordau;anon no;14;0.2;17;1;gacetilla
Paul Bourget;anon no;15;0.8;17;1;prosa
Alfred de Musset;anon no;7;0.1;18;1;gacetilla
Jean Lahor;Balbino Davalos;8;0.5;18;1;poesia
Doctor Rugby;Guillermo Petersen;8;2;18;1;prosa
Hugues Rebell (Georges Grassal de Choffat);anon no;11;1.7;18;1;prosa
Francois Coppee;anon no;12;0.1;18;1;gacetilla
Johann Wolfgang von Goethe;anon no;10;0.04;19;1;gacetilla
Victor Cherbuliez;anon no;10;0.02;19;1;gacetilla
Pierre Loti;anon no;14;2.2;19;1;prosa
Auguste Genin;Balbino Davalos;4;2.3;20;1;poesia
Alexandre Dumas;anon no;7;0.04;20;1;gacetilla
Edmond About;anon no;7;0.04;20;1;gacetilla
Pierre-Jean de Beranger;anon no;7;0.02;20;1;gacetilla
Paul Bourget;anon no;10;0.18;20;1;gacetilla
Camille Flammarion;anon no;13;2.2;20;1;prosa
Paul Bourget;anon no;2;0.2;21;1;gacetilla
Giosue Carducci;Enrique Fernandez Granados;6;0.4;21;1;poesia
Ivan Turgenev;anon no;9;0.7;21;1;prosa
Johann Wolfgang von Goethe;Teodoro Llorente;11;0.8;21;1;drama
Paul Arene;anon no;12;1.5;21;1;prosa
Lev Tolstoy;anon no;13;2;21;1;prosa
William Shakespeare;Jose M. Roa Barcena;3;0.9;22;1;drama
Emile Zola;anon no;6;0.2;22;1;gacetilla
Alfred de Musset;anon no;9;0.04;22;1;gacetilla
Alfred de Musset;anon no;9;0.05;22;1;gacetilla
Adolphe Belot;anon no;9;0.08;22;1;gacetilla
Giosue Carducci;Enrique Fernandez Granados;3;0.9;23;1;poesia
Vincenzo Monti;Francisco G. Cosmes;5;0.15;23;1;poesia
Leon Cladel;anon si;10;2.75;23;1;prosa
Ed. and J. de Goncourt;anon no;12;0.25;23;1;gacetilla
Carmen Silva;anon no;12;2;24;1;prosa
Robert Bulwer-Lytton;C. del Collado;3;0.5;25;1;poesia
Jules Lemaitre;anon no;5;2.3;25;1;prosa
Arsene Houssaye;anon no;9;0.05;25;1;gacetilla
Alexandre Dumas fils;anon no;9;0.02;25;1;gacetilla
Johann Wolfgang von Goethe;anon no;9;0.06;25;1;gacetilla
Alphonse de Lamartine;anon no;9;0.02;25;1;gacetilla
Catulle Mendes;anon no;12;1.65;25;1;prosa
Max Nordau;anon no;2;0.18;26;1;gacetilla
Jules Noriac;anon no;2;0.02;26;1;gacetilla
William Cullen Bryant;Ignacio Mariscal;3;1.5;26;1;poesia
Max Nordau;anon no;8;1.8;26;1;prosa
Alfred de Musset;anon no;9;0.16;26;1;gacetilla
Francois Fenelon;anon no;9;0.04;26;1;gacetilla
Felix Arvers;Abu Beker (seudonimo);10;0.5;26;1;poesia
no hay;no hay;;;27;2;no hay
Jean-Baptiste Alphonse Karr;anon no;9;0.05;28;2;gacetilla
Ernest Renan;anon no;9;0.05;28;2;gacetilla
Paul Bourget;anon no;9;0.05;28;2;gacetilla
Jules Simon;anon no;9;0.05;28;2;gacetilla
Theophile Gautier;anon no;9;0.05;28;2;gacetilla
Victor Cherbuliez;anon no;13;0.2;28;2;gacetilla
Charles de Sivry;anon no;8;1.2;29;2;prosa
Victor Hugo;Luz Murguia de Ramirez;9;1;29;2;poesia
Horace;Milk ( Fernando Juanes Gonzalez Gutierrez);6;0.8;30;2;poesia
Jean Lahor;Enrique Fernandez Granados;9;0.25;30;2;poesia
Ed. and J. de Goncourt;anon no;14;1.5;30;2;prosa
Henry Wadsworth Longfellow;Diego Fallon;3;0.4;31;2;poesia
Heinrich Heine;Alberto Ituarte;11;0.35;31;2;poesia
Jean Richepin;anon no;6;2.5;31;2;prosa
Paul Bourget;anon no;13;0.5;31;2;prosa
Camille Bellaigue;anon no;14;0.9;31;2;prosa
Alexandre Dumas fils;anon no;9;2.8;32;2;prosa
Alexandre Dumas fils;anon no;6;3;33;2;prosa
Eugene Melchior de Vogue;anon si;4;2.1;34;2;prosa
Francois-Rene de Chateaubriad ;anon no;8;0.1;34;2;gacetilla
Jean-Baptiste Alphonse Karr;anon no;8;0.1;34;2;gacetilla
Ernest Renan;anon si;11;1.2;34;2;prosa
Paul Bourget;anon si;4;1;35;2;prosa
Alexandre Dumas fils;anon no;10;4;35;2;prosa
Victor Hugo;Leopoldo Diaz;5;0.6;36;2;poesia
Francois Coppee;anon si;5;2.4;36;2;prosa
Victor Hugo;Ismael Enrique Arciniegas.;8;0.5;36;2;poesia
Jean Lahor;Balbino Davalos;11;0.5;36;2;poesia
Paul Feval;anon no;14;0.05;36;2;gacetilla
Victor Hugo;anon no;14;0.05;36;2;gacetilla
Victor Hugo;anon no;14;0.05;36;2;gacetilla
Lev Tolstoy;anon no;15;1.1;36;2;prosa
Francois Coppee;anon si;10;1.75;37;2;prosa
Aphonse de Lamartine;anon no;13;0.1;37;2;gacetilla
Albert Delpit;anon no;15;0.5;37;2;prosa
Francois Coppee;anon si;4;3;38;2;prosa
Pierre-Jean de Beranger;Rafael Pombo;12;0.8;38;2;poesia
Paul Bourget;anon no;15;0.4;38;2;gacetilla
Victor Hugo;anon no;2;0.06;39;2;gacetilla
Edouard Pailleron;anon no;2;0.04;39;2;gacetilla
Honoré de Balzac;anon no;2;0.07;39;2;gacetilla
Georges Sand;anon no;2;0.03;39;2;gacetilla
Paul Bourget;anon no;12;1.9;39;2;prosa
Leconte de Lisle;J. Gabriel Malda;15;0.8;39;2;poesia
Armand Silvestre;anon no;15;0.45;39;2;prosa
Paul Bourget;anon no;3;1.45;40;2;gacetilla
Stendhal;anon no;3;2.45;40;2;gacetilla
no hay;no hay;;;41;2;no hay
Catulle Mendes;anon si;3;1.9;42;2;prosa
Victor Hugo;anon no;12;1.5;42;2;prosa
Olindo Guerrini;Enrique Fernandez Granados;13;1;42;2;poesia
Guy de Maupassant;anon no;15;0.25;42;2;prosa
Alfred de Musset;anon no;6;1.3;43;2;prosa
Catulle Mendes;anon si;11;2.6;43;2;prosa
Pierre Loti;anon no;5;2.6;44;2;prosa
Guy de Maupassant;anon no;15;0.4;44;2;prosa
Alphonse Daudet;anon no;8;1.3;45;2;prosa
Henri Lavedan;anon si;14;2.2;45;2;prosa
Gyp (Sibylle Riquetti de Mirabeau);anon si;4;3.2;46;2;drama
Jean Lahor;Balbino Davalos;13;1;46;2;poesia
Jean Richepin;anon no;14;1.3;46;2;prosa
Paul Bourget;anon no;6;0.2;47;2;gacetilla
Theophile Gautier;anon si;7;0.8;47;2;poesia
