aut;trad;ini;ext;num;yr;iniper;gen;;
Theophile Gautier;Balbino Davalos;1;0.7;1;1;6;poesia;;
Rene Maizeroy;anon no;13;1.1;1;1;81;prosa;;
Catulle Mendes;Alberto Leduc;2;0.6;2;1;13;prosa;;
Pierre Louys;Jose Juan Tablada;10;0.5;2;1;63;poesia;;
Jeremy Bentham;anon no;16;0.03;2;1;100;gacetilla;;
Sirift;anon no;16;0.6;2;1;100;gacetilla;;
Saint Evremant;anon no;16;0.03;2;1;100;gacetilla;;
[Anonymous];anon no;16;0.02;2;1;100;gacetilla;;
Elisee Reclus;anon no;3;0.03;3;1;19;gacetilla;;
 Jozsef Eotvos;anon no;4;0.04;3;1;25;gacetilla;;
Alphonse Daudet;anon no;4;0.04;3;1;25;gacetilla;;
Stendhal;anon no;4;0.04;3;1;25;gacetilla;;
Emile Tardieu;anon no;16;0.06;3;1;100;gacetilla;;
Arthur Schopenhauer;anon no;16;0.03;3;1;100;gacetilla;;
Francois-Rene de Chateaubriand;anon no;16;0.03;3;1;100;gacetilla;;
Francois de La Rochefoucauld;anon no;4;0.03;4;1;25;gacetilla;;
Victor Hugo;anon no;10;0.03;4;1;63;gacetilla;;
G. M. Valtour;anon no;10;0.03;4;1;63;gacetilla;;
Ed. and J. de Goncourt;anon no;10;0.06;4;1;63;gacetilla;;
[Anonymous];anon no;16;0.05;4;1;100;gacetilla;;
[Anonymous];anon no;16;0.01;4;1;100;gacetilla;;
[Anonymous];anon no;16;0.01;4;1;100;gacetilla;;
[Anonymous];anon no;16;0.02;4;1;100;gacetilla;;
[Anonymous];anon no;16;0.04;4;1;100;gacetilla;;
Johann Wolfgang von Goethe;anon no;16;0.08;4;1;100;gacetilla;;
Denis Diderot;anon no;16;0.05;4;1;100;gacetilla;;
Germaine de Stael;anon no;16;0.01;4;1;100;gacetilla;;
Johann Wolfgang von Goethe;anon no;16;0.04;4;1;100;gacetilla;;
Francois de La Rochefoucauld;anon no;16;0.02;4;1;100;gacetilla;;
Francois de La Rochefoucauld;anon no;16;0.03;4;1;100;gacetilla;;
Francois de La Rochefoucauld;anon no;16;0.03;4;1;100;gacetilla;;
Francois de La Rochefoucauld;anon no;16;0.03;4;1;100;gacetilla;;
Francois de La Rochefoucauld;anon no;16;0.03;4;1;100;gacetilla;;
Francois de La Rochefoucauld;anon no;16;0.02;4;1;100;gacetilla;;
Francois de La Rochefoucauld;anon no;16;0.03;4;1;100;gacetilla;;
Edgar A. Poe / Stephane Mallarme;Rasch [pseudonym];8;0.9;5;1;50;poesia;;
Ernest La Jeunesse;Rasch [pseudonym];11;1.2;5;1;69;prosa;;
Catulle Mendes;Alberto Leduc;12;0.5;5;1;75;prosa;;
no hay;no hay;;;6;1;;no hay;;
Jean Richepin;Balbino Davalos;1;1;7;1;6;poesia;;
Johann Wolfgang von Goethe;anon no;4;0.04;7;1;25;gacetilla;;
Henri-Frederic Amiel;anon no;4;0.02;7;1;25;gacetilla;;
Guy de Maupassant;anon no;4;0.04;7;1;25;gacetilla;;
Arthur Schopenhauer;anon no;4;0.03;7;1;25;gacetilla;;
